year,se,department,cases,casos acumulados,población,incidencia_x_100milHab,casos_estandarizados,estacion_met,Precipitación,Temperatura_Máxima,Temperatura_Mínima,NDVI,NINO_3_4
2023,19,Chuquisaca,192,4537,661119,29.23,29.04,,0,19.714286,19.714286,0.677,28.35
2023,20,Chuquisaca,109,4646,661119,16.60,16.49,,0,21.885714,21.885714,0.659,28.35
2023,21,Chuquisaca,91,4737,661119,13.86,13.76,,0,21.5,21.5,0.659,28.35
2023,22,Chuquisaca,83,4820,661119,12.65,12.55,,0,20.942857,20.942857,0.63,28.59
2023,23,Chuquisaca,70,4890,661119,10.67,10.59,,0,21.416667,21.416667,0.603,28.59
2023,24,Chuquisaca,34,4924,661119,5.18,5.14,,0,15.642857,15.642857,0.603,28.59
2023,25,Chuquisaca,18,4942,661119,2.74,2.72,,0,21.228571,21.228571,0.586,28.59
2023,26,Chuquisaca,12,4954,661119,1.83,1.82,,0,20.785714,20.785714,0.573,28.37
2023,27,Chuquisaca,7,4961,661119,1.07,1.06,,0,23.471429,23.471429,0.573,28.37
2023,28,Chuquisaca,7,4968,661119,1.07,1.06,,0,21.757143,21.757143,0.547,28.37
2023,29,Chuquisaca,4,4972,661119,0.61,0.61,,0,22.257143,22.257143,0.527,28.37
2023,30,Chuquisaca,4,4976,661119,0.61,0.61,,0,20.4,20.4,0.496,28.37
2023,31,Chuquisaca,6,4982,661119,0.91,0.91,,0,21.771429,21.771429,0.496,28.2
2023,32,Chuquisaca,6,4988,661119,0.91,0.91,,0,19.885714,19.885714,0.47,28.2
2023,33,Chuquisaca,4,4992,661119,0.61,0.61,,0,22.542857,22.542857,0.438,28.2
2023,34,Chuquisaca,3,4995,661119,0.46,0.45,,0,23.471429,23.471429,0.438,28.2
2023,35,Chuquisaca,2,4997,661119,0.30,0.30,,0,23.928571,23.928571,0.424,28.29
2023,36,Chuquisaca,11,5008,661119,1.68,1.66,,0,22.042857,22.042857,0.422,28.29
2023,37,Chuquisaca,6,5014,661119,0.91,0.91,,0,23.914286,23.914286,0.422,28.29
2023,38,Chuquisaca,8,5022,661119,1.22,1.21,,.02857143,23.914286,23.914286,0.427,28.29
2023,1,Cochabamba,8,8,2117112,0.38,0.38,,3.2428571,11.59,2.6628571,0.585,25.88
2023,2,Cochabamba,23,31,2117112,1.09,1.09,,2.4857143,13.382857,1.7357143,0.613,25.88
2023,3,Cochabamba,31,62,2117112,1.46,1.46,,1.5285714,12.854286,.60857143,0.639,25.88
2023,4,Cochabamba,69,131,2117112,3.26,3.26,,1.1428571,13.844286,2.9785714,0.639,25.88
2023,5,Cochabamba,111,242,2117112,5.24,5.24,,4.6428571,8.7742857,2.06,0.649,26.29
2023,6,Cochabamba,160,402,2117112,7.56,7.56,,8.0428571,9.2614286,2.0357143,0.651,26.29
2023,7,Cochabamba,176,578,2117112,8.31,8.31,,7.5428571,11.285714,2.2757143,0.651,26.29
2023,8,Cochabamba,178,756,2117112,8.41,8.41,,1.4142857,11.837143,2.1857143,0.643,26.29
2023,9,Cochabamba,228,984,2117112,10.77,10.77,,1.4571429,12.318571,2.5771429,0.648,27.23
2023,10,Cochabamba,280,1264,2117112,13.23,13.23,,1.9142857,11.757143,2.4842857,0.656,27.23
2023,11,Cochabamba,231,1495,2117112,10.92,10.91,,2.1571429,10.084286,1.7485714,0.656,27.23
2023,12,Cochabamba,203,1698,2117112,9.60,9.59,,2.1857143,7.7257143,2.4385714,0.656,27.23
2023,13,Cochabamba,244,1942,2117112,11.53,11.53,,4.3714286,9.6014286,1.1328571,0.66,27.99
2023,14,Cochabamba,169,2111,2117112,7.99,7.98,,2.8571429,10.484286,.63,0.66,27.99
2023,15,Cochabamba,158,2269,2117112,7.47,7.46,,.72857143,11.48,1.6871429,0.652,27.99
2023,16,Cochabamba,126,2395,2117112,5.96,5.95,,0,13.344286,1.16,0.651,27.99
2023,17,Cochabamba,129,2524,2117112,6.10,6.09,,0,13.76,-.21571429,0.643,27.99
2023,18,Cochabamba,63,2587,2117112,2.98,2.98,,3.2285714,10.837143,1.54,0.643,28.35
2023,19,Cochabamba,55,2642,2117112,2.60,2.60,,1.8,9.9242857,.54285714,0.624,28.35
2023,20,Cochabamba,40,2682,2117112,1.89,1.89,,0,12.32,.85285714,0.599,28.35
2023,21,Cochabamba,20,2702,2117112,0.95,0.94,,0,11.461429,.36571429,0.599,28.35
2023,22,Cochabamba,19,2721,2117112,0.90,0.90,,.48571429,11.95,-.52,0.588,28.59
2023,23,Cochabamba,17,2738,2117112,0.80,0.80,,0,12.087143,-.99571429,0.577,28.59
2023,24,Cochabamba,8,2746,2117112,0.38,0.38,,0,10.165714,-1.6042857,0.577,28.59
2023,25,Cochabamba,6,2752,2117112,0.28,0.28,,0,11.281429,-.42142857,0.57,28.59
2023,26,Cochabamba,6,2758,2117112,0.28,0.28,,0,12.811429,-1.8928571,0.562,28.37
2023,27,Cochabamba,11,2769,2117112,0.52,0.52,,0,15.992857,3.23,0.562,28.37
2023,28,Cochabamba,10,2779,2117112,0.47,0.47,,0,13.845714,.79428571,0.538,28.37
2023,29,Cochabamba,13,2792,2117112,0.61,0.61,,0,13.758571,1.4514286,0.526,28.37
2023,30,Cochabamba,13,2805,2117112,0.61,0.61,,.05714286,10.491429,-.69,0.519,28.37
2023,31,Cochabamba,13,2818,2117112,0.61,0.61,,.1,11.825714,-2.9885714,0.519,28.2
2023,32,Cochabamba,5,2823,2117112,0.24,0.24,,0,11.404286,-.27428571,0.499,28.2
2023,33,Cochabamba,7,2830,2117112,0.33,0.33,,.61428571,10.944286,-1.4085714,0.481,28.2
2023,34,Cochabamba,9,2839,2117112,0.43,0.43,,0,14.262857,-.49571429,0.481,28.2
2023,35,Cochabamba,9,2848,2117112,0.43,0.43,,.1,13.928571,3.0157143,0.473,28.29
2023,36,Cochabamba,9,2857,2117112,0.43,0.43,,.35714286,11.017143,2.0014286,0.471,28.29
2023,37,Cochabamba,13,2870,2117112,0.61,0.61,,.81428571,13.612857,.40857143,0.471,28.29
2023,38,Cochabamba,7,2877,2117112,0.33,0.33,,.57142857,12.797143,.89714286,0.46,28.29
2023,1,La Paz,47,47,3051947,1.54,1.54,,5.4589285,21.528334,11.831429,0.434,25.88
2023,2,La Paz,61,108,3051947,2.00,2.00,,1.3428572,23.199762,12.617857,0.461,25.88
2023,3,La Paz,58,166,3051947,1.90,1.90,,11.364286,22.507143,11.216786,0.491,25.88
2023,4,La Paz,140,306,3051947,4.59,4.59,,.72142855,23.582143,13.289286,0.491,25.88
2023,5,La Paz,168,474,3051947,5.51,5.50,,4.2014285,19.770476,12.39,0.506,26.29
2023,6,La Paz,246,720,3051947,8.06,8.06,,10.258929,20.280714,12.567857,0.512,26.29
2023,7,La Paz,281,1001,3051947,9.21,9.21,,3.7714285,21.90119,12.897857,0.512,26.29
2023,8,La Paz,156,1157,3051947,5.11,5.11,,4.7738095,21.878571,12.759524,0.512,26.29
2023,9,La Paz,215,1372,3051947,7.05,7.04,,1.0785715,22.942619,13.105238,0.529,27.23
2023,10,La Paz,291,1663,3051947,9.54,9.53,,2.1971429,22.395238,13.182143,0.564,27.23
2023,11,La Paz,215,1878,3051947,7.05,7.04,,5.0535714,20.822143,12.124286,0.564,27.23
2023,12,La Paz,233,2111,3051947,7.64,7.63,,11.502857,18.996191,12.219286,0.568,27.23
2023,13,La Paz,176,2287,3051947,5.77,5.77,,0,21.467381,12.306429,0.572,27.99
2023,14,La Paz,145,2432,3051947,4.75,4.75,,3.4571429,20.762143,11.965,0.572,27.99
2023,15,La Paz,147,2579,3051947,4.82,4.82,,3.4142857,22.5,13.043571,0.563,27.99
2023,16,La Paz,117,2696,3051947,3.84,3.83,,1.4,22.952143,12.02,0.545,27.99
2023,17,La Paz,100,2796,3051947,3.28,3.28,,2.2142857,23.88,11.192143,0.522,27.99
2023,18,La Paz,79,2875,3051947,2.59,2.59,,0,21.198571,10.87,0.522,28.35
2023,19,La Paz,52,2927,3051947,1.71,1.70,,.9,19.728809,10.491429,0.49,28.35
2023,20,La Paz,49,2976,3051947,1.61,1.61,,0,23.01,11.186429,0.449,28.35
2023,21,La Paz,56,3032,3051947,1.84,1.83,,.52,22.464048,11.512857,0.449,28.35
2023,22,La Paz,52,3084,3051947,1.71,1.70,,2.5178571,19.608334,9.34,0.432,28.59
2023,23,La Paz,57,3141,3051947,1.87,1.87,,.4375,22.843571,10.168809,0.42,28.59
2023,24,La Paz,54,3195,3051947,1.77,1.77,,2.05,16.549523,5.5178572,0.42,28.59
2023,25,La Paz,45,3240,3051947,1.48,1.47,,0,21.740715,8.6142857,0.407,28.59
2023,26,La Paz,29,3269,3051947,0.95,0.95,,0,23.505715,8.9035714,0.398,28.37
2023,27,La Paz,19,3288,3051947,0.62,0.62,,0,25.371429,11.365,0.398,28.37
2023,28,La Paz,24,3312,3051947,0.79,0.79,,.58333333,23.856191,10.117143,0.383,28.37
2023,29,La Paz,20,3332,3051947,0.66,0.66,,1.5142857,23.062619,9.0457143,0.374,28.37
2023,30,La Paz,15,3347,3051947,0.49,0.49,,7.2714286,22.565714,8.805,0.367,28.37
2023,31,La Paz,8,3355,3051947,0.26,0.26,,0,24.262857,7.5057143,0.367,28.2
2023,32,La Paz,11,3366,3051947,0.36,0.36,,.07142857,24.122143,8.4628571,0.362,28.2
2023,33,La Paz,25,3391,3051947,0.82,0.82,,.51428571,22.288809,10.633214,0.354,28.2
2023,34,La Paz,20,3411,3051947,0.66,0.66,,0,26.081429,10.127143,0.354,28.2
2023,35,La Paz,14,3425,3051947,0.46,0.46,,1.5285714,24.930952,12.547857,0.352,28.29
2023,36,La Paz,6,3431,3051947,0.20,0.20,,1.1,24.258572,11.640714,0.355,28.29
2023,37,La Paz,29,3460,3051947,0.95,0.95,,.72857143,24.731428,11.104286,0.355,28.29
2023,38,La Paz,6,3466,3051947,0.20,0.20,,16.214286,25.258571,11.098571,0.356,28.29
2023,1,Oruro,0,0,553088,0.000,0.000,,3.6285714,19.6,4.9428571,0.322,25.88
2023,2,Oruro,1,1,553088,0.181,0.181,,.41428571,21.757143,4.0571429,0.337,25.88
2023,3,Oruro,0,1,553088,0.000,0.000,,0,20.657143,5.5714286,0.357,25.88
2023,4,Oruro,1,2,553088,0.181,0.181,,2.0142857,22.171429,6.0142857,0.357,25.88
2023,5,Oruro,0,2,553088,0.000,0.000,,1.5857143,20.257143,6.3,0.383,26.29
2023,6,Oruro,1,3,553088,0.181,0.181,,8.5857143,17.957143,5.2571429,0.4,26.29
2023,7,Oruro,3,6,553088,0.542,0.542,,1.6428571,18.9,6.7,0.4,26.29
2023,8,Oruro,4,10,553088,0.723,0.723,,.57142857,20.557143,5.6285714,0.405,26.29
2023,9,Oruro,4,14,553088,0.723,0.723,,0,22.342857,5.3857143,0.423,27.23
2023,10,Oruro,3,17,553088,0.542,0.542,,.85714286,21.9,5.5428571,0.443,27.23
2023,11,Oruro,0,17,553088,0.000,0.000,,.62857143,20.642857,5.2714286,0.443,27.23
2023,12,Oruro,0,17,553088,0.000,0.000,,1.0857143,18.185714,5.8857143,0.438,27.23
2023,13,Oruro,0,17,553088,0.000,0.000,,2.2571429,19.185714,5.5714286,0.429,27.99
2023,14,Oruro,0,17,553088,0.000,0.000,,1.6714286,18.842857,3.4857143,0.429,27.99
2023,15,Oruro,0,17,553088,0.000,0.000,,3.5571429,18.814286,1.0571429,0.411,27.99
2023,16,Oruro,0,17,553088,0.000,0.000,,0,19.885714,.34285714,0.388,27.99
2023,17,Oruro,0,17,553088,0.000,0.000,,0,19.557143,-1.4285714,0.365,27.99
2023,18,Oruro,0,17,553088,0.000,0.000,,2.2142857,19.7,.82857143,0.365,28.35
2023,19,Oruro,0,17,553088,0.000,0.000,,.57142857,18.5,1.0142857,0.341,28.35
2023,20,Oruro,0,17,553088,0.000,0.000,,0,19,-1.7857143,0.308,28.35
2023,21,Oruro,0,17,553088,0.000,0.000,,0,17.614286,-3.2714286,0.308,28.35
2023,22,Oruro,0,17,553088,0.000,0.000,,.15714286,17.7,-3.9428571,0.289,28.59
2023,23,Oruro,0,17,553088,0.000,0.000,,0,16.885714,-6.2571429,0.272,28.59
2023,24,Oruro,0,17,553088,0.000,0.000,,0,15.771429,-7.7,0.272,28.59
2023,25,Oruro,0,17,553088,0.000,0.000,,0,16.142857,-7.4428571,0.262,28.59
2023,26,Oruro,0,17,553088,0.000,0.000,,0,16.685714,-6.5857143,0.255,28.37
2023,27,Oruro,0,17,553088,0.000,0.000,,0,17.5,-6.7285714,0.255,28.37
2023,28,Oruro,0,17,553088,0.000,0.000,,0,18.485714,-5.9,0.245,28.37
2023,29,Oruro,0,17,553088,0.000,0.000,,0,19.171429,-3.8714286,0.241,28.37
2023,30,Oruro,0,17,553088,0.000,0.000,,.1,18.314286,-4.6,0.237,28.37
2023,31,Oruro,0,17,553088,0.000,0.000,,.22857143,18.4,-5.3857143,0.237,28.2
2023,32,Oruro,0,17,553088,0.000,0.000,,0,18.471429,-3.9285714,0.237,28.2
2023,33,Oruro,0,17,553088,0.000,0.000,,0,17.814286,-3.7857143,0.233,28.2
2023,34,Oruro,0,17,553088,0.000,0.000,,0,18.128571,-7.1,0.233,28.2
2023,35,Oruro,0,17,553088,0.000,0.000,,0,20.06,-3.28,0.237,28.29
2023,36,Oruro,0,17,553088,0.000,0.000,,0,18.142857,-2.8571429,0.244,28.29
2023,37,Oruro,0,17,553088,0.000,0.000,,0,19.828571,-2.1428571,0.244,28.29
2023,38,Oruro,0,17,553088,0.000,0.000,,.24285714,20.828571,-3.2428571,0.249,28.29
2023,1,Pando,40,40,163727,24.43,24.43,,6.0857143,30.771429,21.314286,0.759,25.88
2023,2,Pando,44,84,163727,26.88,26.87,,0,33.942857,22.9,0.773,25.88
2023,3,Pando,59,143,163727,36.05,36.04,,17.185714,31.014286,22.128571,0.785,25.88
2023,4,Pando,89,232,163727,54.41,54.36,,1.3285714,33.271429,22.585714,0.785,25.88
2023,5,Pando,110,342,163727,67.28,67.19,,13,29.585714,22.171429,0.796,26.29
2023,6,Pando,157,499,163727,96.09,95.89,,5.1857143,30.685714,22.628571,0.756,26.29
2023,7,Pando,185,684,163727,113.34,112.99,,7.1,31.685714,23.357143,0.756,26.29
2023,8,Pando,141,825,163727,86.48,86.12,,3.8857143,31.857143,20.614286,0.768,26.29
2023,9,Pando,152,977,163727,93.31,92.84,,9.9571429,33.457143,23.442857,0.784,27.23
2023,10,Pando,172,1149,163727,105.68,105.05,,11.1,32.257143,23.542857,0.758,27.23
2023,11,Pando,122,1271,163727,75.04,74.51,,2.9714286,32.557143,22.785714,0.758,27.23
2023,12,Pando,88,1359,163727,54.17,53.75,,19.157143,30.371429,21.728571,0.769,27.23
