year,se,cases,Precipitación,Temperatura_Máxima,Temperatura_Mínima,NDVI,NINO_3_4,cases_avg_2w
2023.0,7.0,176.0,7.5428571,11.285714,2.2757143,0.651,26.29,168.0
2023.0,8.0,178.0,1.4142857,11.837143,2.1857143,0.643,26.29,177.0
2023.0,9.0,228.0,1.4571429,12.318571,2.5771429,0.648,27.23,203.0
2023.0,10.0,280.0,1.9142857,11.757143,2.4842857,0.656,27.23,254.0
2023.0,11.0,231.0,2.1571429,10.084286,1.7485714,0.656,27.23,255.5
2023.0,12.0,203.0,2.1857143,7.7257143,2.4385714,0.656,27.23,217.0
2023.0,13.0,244.0,4.3714286,9.6014286,1.1328571,0.66,27.99,223.5
2023.0,14.0,169.0,2.8571429,10.484286,0.63,0.66,27.99,206.5
2023.0,15.0,158.0,0.72857143,11.48,1.6871429,0.652,27.99,163.5
2023.0,16.0,126.0,0.0,13.344286,1.16,0.651,27.99,142.0
2023.0,17.0,129.0,0.0,13.76,-0.21571429,0.643,27.99,127.5
2023.0,18.0,63.0,3.2285714,10.837143,1.54,0.643,28.35,96.0
2023.0,19.0,55.0,1.8,9.9242857,0.54285714,0.624,28.35,59.0
2023.0,20.0,40.0,0.0,12.32,0.85285714,0.599,28.35,47.5
2023.0,21.0,20.0,0.0,11.461429,0.36571429,0.599,28.35,30.0
2023.0,22.0,19.0,0.48571429,11.95,-0.52,0.588,28.59,19.5
2023.0,23.0,17.0,0.0,12.087143,-0.99571429,0.577,28.59,18.0
2023.0,24.0,8.0,0.0,10.165714,-1.6042857,0.577,28.59,12.5
2023.0,25.0,6.0,0.0,11.281429,-0.42142857,0.57,28.59,7.0
2023.0,26.0,6.0,0.0,12.811429,-1.8928571,0.562,28.37,6.0
2023.0,27.0,11.0,0.0,15.992857,3.23,0.562,28.37,8.5
2023.0,28.0,10.0,0.0,13.845714,0.79428571,0.538,28.37,10.5
2023.0,29.0,13.0,0.0,13.758571,1.4514286,0.526,28.37,11.5
2023.0,30.0,13.0,0.05714286,10.491429,-0.69,0.519,28.37,13.0
2023.0,31.0,13.0,0.1,11.825714,-2.9885714,0.519,28.2,13.0
2023.0,32.0,5.0,0.0,11.404286,-0.27428571,0.499,28.2,9.0
2023.0,33.0,7.0,0.61428571,10.944286,-1.4085714,0.481,28.2,6.0
2023.0,34.0,9.0,0.0,14.262857,-0.49571429,0.481,28.2,8.0
2023.0,35.0,9.0,0.1,13.928571,3.0157143,0.473,28.29,9.0
2023.0,36.0,9.0,0.35714286,11.017143,2.0014286,0.471,28.29,9.0
2023.0,37.0,13.0,0.81428571,13.612857,0.40857143,0.471,28.29,11.0
2023.0,38.0,7.0,0.57142857,12.797143,0.89714286,0.46,28.29,10.0
2023.0,1.0,47.0,5.4589285,21.528334,11.831429,0.434,25.88,27.0
2023.0,2.0,61.0,1.3428572,23.199762,12.617857,0.461,25.88,54.0
2023.0,3.0,58.0,11.364286,22.507143,11.216786,0.491,25.88,59.5
2023.0,4.0,140.0,0.72142855,23.582143,13.289286,0.491,25.88,99.0
2023.0,5.0,168.0,4.2014285,19.770476,12.39,0.506,26.29,154.0
2023.0,6.0,246.0,10.258929,20.280714,12.567857,0.512,26.29,207.0
2023.0,7.0,281.0,3.7714285,21.90119,12.897857,0.512,26.29,263.5
2023.0,8.0,156.0,4.7738095,21.878571,12.759524,0.512,26.29,218.5
2023.0,9.0,215.0,1.0785715,22.942619,13.105238,0.529,27.23,185.5
2023.0,10.0,291.0,2.1971429,22.395238,13.182143,0.564,27.23,253.0
2023.0,11.0,215.0,5.0535714,20.822143,12.124286,0.564,27.23,253.0
2023.0,12.0,233.0,11.502857,18.996191,12.219286,0.568,27.23,224.0
2023.0,13.0,176.0,0.0,21.467381,12.306429,0.572,27.99,204.5
2023.0,14.0,145.0,3.4571429,20.762143,11.965,0.572,27.99,160.5
2023.0,15.0,147.0,3.4142857,22.5,13.043571,0.563,27.99,146.0
2023.0,16.0,117.0,1.4,22.952143,12.02,0.545,27.99,132.0
2023.0,17.0,100.0,2.2142857,23.88,11.192143,0.522,27.99,108.5
2023.0,18.0,79.0,0.0,21.198571,10.87,0.522,28.35,89.5
2023.0,19.0,52.0,0.9,19.728809,10.491429,0.49,28.35,65.5
2023.0,20.0,49.0,0.0,23.01,11.186429,0.449,28.35,50.5
2023.0,21.0,56.0,0.52,22.464048,11.512857,0.449,28.35,52.5
2023.0,22.0,52.0,2.5178571,19.608334,9.34,0.432,28.59,54.0
2023.0,23.0,57.0,0.4375,22.843571,10.168809,0.42,28.59,54.5
2023.0,24.0,54.0,2.05,16.549523,5.5178572,0.42,28.59,55.5
2023.0,25.0,45.0,0.0,21.740715,8.6142857,0.407,28.59,49.5
2023.0,26.0,29.0,0.0,23.505715,8.9035714,0.398,28.37,37.0
2023.0,27.0,19.0,0.0,25.371429,11.365,0.398,28.37,24.0
2023.0,28.0,24.0,0.58333333,23.856191,10.117143,0.383,28.37,21.5
2023.0,29.0,20.0,1.5142857,23.062619,9.0457143,0.374,28.37,22.0
2023.0,30.0,15.0,7.2714286,22.565714,8.805,0.367,28.37,17.5
2023.0,31.0,8.0,0.0,24.262857,7.5057143,0.367,28.2,11.5
2023.0,32.0,11.0,0.07142857,24.122143,8.4628571,0.362,28.2,9.5
2023.0,33.0,25.0,0.51428571,22.288809,10.633214,0.354,28.2,18.0
2023.0,34.0,20.0,0.0,26.081429,10.127143,0.354,28.2,22.5
2023.0,35.0,14.0,1.5285714,24.930952,12.547857,0.352,28.29,17.0
2023.0,36.0,6.0,1.1,24.258572,11.640714,0.355,28.29,10.0
2023.0,37.0,29.0,0.72857143,24.731428,11.104286,0.355,28.29,17.5
2023.0,38.0,6.0,16.214286,25.258571,11.098571,0.356,28.29,17.5
2023.0,1.0,0.0,3.6285714,19.6,4.9428571,0.322,25.88,3.0
2023.0,2.0,1.0,0.41428571,21.757143,4.0571429,0.337,25.88,0.5
2023.0,3.0,0.0,0.0,20.657143,5.5714286,0.357,25.88,0.5
2023.0,4.0,1.0,2.0142857,22.171429,6.0142857,0.357,25.88,0.5
2023.0,5.0,0.0,1.5857143,20.257143,6.3,0.383,26.29,0.5
2023.0,6.0,1.0,8.5857143,17.957143,5.2571429,0.4,26.29,0.5
2023.0,7.0,3.0,1.6428571,18.9,6.7,0.4,26.29,2.0
2023.0,8.0,4.0,0.57142857,20.557143,5.6285714,0.405,26.29,3.5
2023.0,9.0,4.0,0.0,22.342857,5.3857143,0.423,27.23,4.0
2023.0,10.0,3.0,0.85714286,21.9,5.5428571,0.443,27.23,3.5
2023.0,11.0,0.0,0.62857143,20.642857,5.2714286,0.443,27.23,1.5
2023.0,12.0,0.0,1.0857143,18.185714,5.8857143,0.438,27.23,0.0
2023.0,13.0,0.0,2.2571429,19.185714,5.5714286,0.429,27.99,0.0
2023.0,14.0,0.0,1.6714286,18.842857,3.4857143,0.429,27.99,0.0
2023.0,15.0,0.0,3.5571429,18.814286,1.0571429,0.411,27.99,0.0
2023.0,16.0,0.0,0.0,19.885714,0.34285714,0.388,27.99,0.0
2023.0,17.0,0.0,0.0,19.557143,-1.4285714,0.365,27.99,0.0
2023.0,18.0,0.0,2.2142857,19.7,0.82857143,0.365,28.35,0.0
2023.0,19.0,0.0,0.57142857,18.5,1.0142857,0.341,28.35,0.0
2023.0,20.0,0.0,0.0,19.0,-1.7857143,0.308,28.35,0.0
